Soil_Type,Rainfall,Temperature,Humidity,Fertilizer_Usage,Pesticide_Usage,Irrigation_Hours,Previous_Yield,Season,Crop_Yield,Crop_Health,Suitability,Productivity_Zone
Sandy,226.91,40.0,61.05,192.07,37.94,8.25,2.01,Summer,2.93,Unhealthy,Low,Low Productivity
Clay,890.98,32.24,75.43,185.35,47.71,2.26,4.06,Kharif,4.71,Healthy,Medium,Moderate Productivity
Sandy,240.06,28.62,82.35,126.5,60.35,6.53,2.8,Summer,3.83,Healthy,Medium,Low Productivity
Sandy,1169.24,25.53,90.68,299.11,54.11,6.6,2.98,Kharif,7.1,Healthy,High,High Productivity
Clay,601.73,26.79,76.5,238.08,47.55,5.61,3.41,Rabi,5.1,Healthy,High,Moderate Productivity
Sandy,673.57,36.49,68.62,190.31,48.97,6.28,2.51,Summer,3.77,Unhealthy,Medium,Low Productivity
Sandy,1627.25,28.3,85.92,360.46,46.2,3.74,2.87,Kharif,7.51,Healthy,High,High Productivity
Clay,547.78,20.47,95.0,218.75,52.34,2.98,3.01,Rabi,4.62,Healthy,Medium,Low Productivity
Sandy,566.14,39.08,62.13,236.03,35.75,6.71,2.85,Summer,4.66,Unhealthy,Low,Low Productivity
Sandy,1346.46,28.04,76.65,268.37,29.49,2.97,3.36,Kharif,6.92,Healthy,High,High Productivity
Loamy,870.32,33.07,76.22,196.03,48.3,3.09,3.19,Kharif,5.54,Healthy,Medium,Moderate Productivity
Loamy,359.54,25.21,80.86,138.99,49.73,5.18,2.88,Rabi,4.15,Healthy,Low,Low Productivity
Loamy,1147.23,35.08,68.11,240.04,39.56,4.65,3.65,Kharif,6.77,Healthy,High,High Productivity
Sandy,1277.34,26.32,83.63,314.24,57.45,6.44,3.51,Kharif,8.0,Healthy,High,High Productivity
Loamy,586.0,17.51,95.0,103.97,43.28,5.18,3.73,Rabi,3.36,Healthy,Low,Low Productivity
Sandy,392.71,38.3,61.49,302.38,22.73,9.79,2.95,Summer,5.81,Healthy,Medium,Moderate Productivity
Sandy,1497.38,21.74,95.0,313.31,43.53,4.41,3.28,Kharif,7.93,Healthy,High,High Productivity
Loamy,835.98,26.36,79.49,216.06,30.44,4.22,3.44,Kharif,5.31,Healthy,Medium,Moderate Productivity
Sandy,292.64,35.99,72.54,378.14,47.14,4.73,2.63,Summer,6.63,Healthy,Medium,High Productivity
Sandy,931.57,19.63,95.0,252.22,42.98,9.34,3.36,Rabi,6.66,Healthy,Medium,High Productivity
Loamy,526.33,32.65,76.44,209.17,54.78,4.09,3.9,Summer,4.44,Healthy,Medium,Low Productivity
Loamy,629.34,20.0,88.52,70.54,58.19,5.8,3.76,Rabi,3.71,Healthy,Low,Low Productivity
Loamy,366.01,36.07,74.31,219.1,35.04,4.96,3.72,Summer,4.31,Unhealthy,Medium,Low Productivity
Sandy,595.25,20.81,88.16,282.42,40.37,7.32,2.96,Rabi,4.89,Healthy,Medium,Low Productivity
Sandy,1247.62,29.6,81.09,209.4,51.67,4.76,3.47,Kharif,6.54,Healthy,High,High Productivity
Loamy,541.49,36.2,69.53,219.76,52.66,3.48,4.33,Summer,4.84,Healthy,Medium,Moderate Productivity
Sandy,518.44,25.7,87.47,421.61,28.11,6.01,1.67,Rabi,5.5,Healthy,Medium,Low Productivity
Loamy,1589.27,28.48,72.86,164.47,46.67,8.04,4.69,Kharif,8.0,Healthy,High,High Productivity
Sandy,1251.59,25.25,78.63,296.39,23.61,7.87,3.6,Kharif,7.79,Healthy,High,High Productivity
Clay,619.99,17.0,86.55,176.44,42.48,2.47,2.75,Rabi,3.41,Healthy,Low,Low Productivity
Clay,1141.36,21.91,87.42,304.05,59.16,2.68,4.08,Kharif,6.95,Healthy,High,High Productivity
Loamy,1409.79,29.32,71.17,266.9,73.45,3.86,4.82,Kharif,7.5,Healthy,High,High Productivity
Clay,1018.59,29.38,75.29,247.35,42.2,4.61,3.36,Kharif,6.95,Healthy,Medium,High Productivity
Clay,855.69,19.46,85.11,204.13,35.06,2.67,3.89,Rabi,5.78,Healthy,Medium,Moderate Productivity
Sandy,656.55,16.94,95.0,278.41,45.37,6.54,3.04,Rabi,5.84,Healthy,Medium,Moderate Productivity
Clay,563.12,14.49,91.66,205.91,50.16,2.18,2.88,Rabi,4.48,Healthy,Medium,Low Productivity
Sandy,1294.67,25.15,77.39,281.85,38.51,4.67,2.83,Kharif,7.2,Healthy,High,High Productivity
Loamy,769.51,31.75,77.15,188.96,35.9,3.97,3.61,Kharif,5.92,Healthy,Medium,Moderate Productivity
Clay,607.05,23.32,94.45,312.49,46.07,4.1,2.52,Rabi,4.99,Healthy,Medium,Low Productivity
Loamy,1586.39,35.16,71.23,154.26,47.33,5.44,3.53,Kharif,5.83,Healthy,Medium,Moderate Productivity
Loamy,352.11,22.01,87.4,88.24,46.53,6.88,3.89,Rabi,3.94,Healthy,Low,Low Productivity
Sandy,1460.76,33.22,80.59,357.72,37.36,7.63,3.24,Kharif,8.0,Healthy,High,High Productivity
Clay,897.41,30.03,82.35,166.51,40.0,3.28,3.3,Kharif,5.19,Healthy,Medium,Moderate Productivity
Loamy,1236.1,26.25,84.62,187.52,43.25,9.37,3.61,Kharif,7.59,Healthy,High,High Productivity
Clay,308.03,18.43,88.98,253.19,38.7,6.57,3.84,Rabi,5.37,Healthy,Medium,Moderate Productivity
Sandy,1208.54,26.03,85.05,121.36,40.44,8.99,3.07,Kharif,6.15,Healthy,High,Moderate Productivity
Loamy,492.62,31.96,68.85,208.17,49.09,5.31,4.47,Summer,5.8,Unhealthy,Medium,High Productivity
Loamy,1044.96,30.82,73.9,219.45,41.87,5.95,4.62,Kharif,7.21,Healthy,Medium,High Productivity
Loamy,570.65,20.47,95.0,220.98,32.97,5.89,3.49,Rabi,5.26,Healthy,Medium,Moderate Productivity
Sandy,802.34,19.56,95.0,199.15,60.75,7.06,2.66,Rabi,4.22,Healthy,Medium,Low Productivity
Loamy,836.36,34.57,74.7,215.14,48.58,6.45,4.01,Kharif,7.83,Healthy,Medium,High Productivity
Loamy,616.72,25.61,73.63,245.37,30.26,6.3,3.97,Rabi,5.04,Healthy,Medium,Moderate Productivity
Sandy,1538.05,32.9,68.48,285.38,38.89,8.63,2.42,Kharif,7.1,Healthy,High,High Productivity
Loamy,523.98,17.21,89.95,236.06,41.06,8.16,2.95,Rabi,4.49,Healthy,Medium,Low Productivity
Clay,870.82,22.64,85.97,135.37,54.56,2.71,3.83,Kharif,6.0,Healthy,Medium,High Productivity
Clay,645.61,35.8,64.79,253.08,37.72,6.61,1.74,Summer,4.16,Healthy,Medium,Low Productivity
Sandy,702.25,31.92,74.47,156.03,43.61,9.45,2.3,Summer,4.49,Healthy,Medium,Low Productivity
Clay,897.0,27.94,89.3,297.6,46.9,4.6,3.36,Kharif,6.29,Healthy,Medium,High Productivity
Clay,424.84,16.14,95.0,250.83,35.7,5.53,3.78,Rabi,4.62,Healthy,Medium,Moderate Productivity
Loamy,398.24,35.8,72.13,256.52,57.69,4.71,3.61,Summer,5.21,Healthy,Medium,Moderate Productivity
Loamy,1362.78,30.65,72.13,152.47,50.26,1.72,4.39,Kharif,6.29,Healthy,Medium,High Productivity
Sandy,317.62,36.69,61.78,290.15,33.06,7.84,3.33,Summer,5.55,Healthy,Medium,Moderate Productivity
Loamy,496.47,19.21,84.81,212.43,49.36,6.77,3.14,Rabi,4.78,Healthy,Medium,Low Productivity
Loamy,532.65,32.7,66.36,245.04,51.65,2.48,2.79,Summer,5.28,Healthy,Medium,Moderate Productivity
Clay,200.0,37.12,69.83,218.18,43.51,2.31,3.22,Summer,3.53,Healthy,Low,Low Productivity
Sandy,1488.72,35.48,73.34,305.76,59.57,10.08,3.21,Kharif,7.93,Healthy,High,High Productivity
Sandy,532.27,16.54,89.33,285.68,77.98,5.8,2.59,Rabi,4.64,Healthy,Medium,Low Productivity
Clay,602.5,21.04,89.5,341.25,47.59,4.62,3.08,Rabi,5.9,Healthy,High,Moderate Productivity
Loamy,1394.97,28.72,86.88,207.93,42.24,2.39,4.43,Kharif,8.0,Healthy,High,High Productivity
Sandy,1395.54,28.39,89.72,231.07,39.02,7.75,3.35,Kharif,7.31,Healthy,High,High Productivity
Sandy,538.61,33.1,78.13,236.54,23.3,7.7,2.11,Summer,3.14,Healthy,Medium,Low Productivity
Clay,1403.51,31.48,75.35,173.01,57.09,4.58,3.47,Kharif,6.38,Healthy,High,High Productivity
Clay,674.63,23.01,90.08,232.34,45.49,4.0,3.45,Rabi,5.19,Healthy,Medium,Moderate Productivity
Loamy,385.99,37.31,75.99,232.58,53.55,5.67,3.8,Summer,4.75,Unhealthy,Medium,Moderate Productivity
Clay,1247.62,23.05,76.3,330.79,55.66,2.41,3.76,Kharif,7.6,Healthy,High,High Productivity
Clay,518.61,18.77,95.0,121.16,39.69,6.42,3.66,Rabi,3.27,Healthy,Low,Low Productivity
Clay,278.29,33.89,70.61,133.57,33.88,4.64,3.55,Summer,4.89,Healthy,Medium,Moderate Productivity
Sandy,377.13,23.2,83.49,367.68,64.49,5.96,2.66,Rabi,5.83,Healthy,Medium,Moderate Productivity
Sandy,957.42,30.54,75.58,256.56,43.97,7.74,3.87,Kharif,6.77,Healthy,Medium,High Productivity
Sandy,1356.14,21.74,89.51,297.11,42.25,10.02,2.82,Kharif,8.0,Healthy,High,High Productivity
Clay,282.08,33.76,67.93,227.32,31.93,5.03,3.17,Summer,4.13,Healthy,Low,Low Productivity
Clay,1441.38,23.9,83.89,281.14,45.75,3.81,3.55,Kharif,7.98,Healthy,High,High Productivity
Loamy,721.16,22.6,89.51,211.35,63.93,5.58,4.49,Rabi,5.21,Healthy,Medium,Moderate Productivity
Loamy,1563.93,27.73,81.81,168.95,53.4,5.9,3.81,Kharif,7.22,Healthy,High,High Productivity
Loamy,611.49,26.66,83.91,153.11,48.99,5.76,3.96,Rabi,4.18,Healthy,Medium,Low Productivity
Loamy,488.22,29.79,76.63,208.58,60.87,3.41,4.17,Summer,5.01,Healthy,Medium,Moderate Productivity
Loamy,485.96,22.22,90.81,155.16,63.2,3.7,3.12,Rabi,4.6,Healthy,Medium,Low Productivity
Clay,576.82,37.33,74.48,248.22,47.69,4.56,3.02,Summer,4.77,Healthy,Medium,Low Productivity
Sandy,1563.33,27.88,85.53,322.38,75.42,6.62,3.96,Kharif,7.32,Healthy,High,High Productivity
Sandy,592.77,25.27,85.81,255.94,45.27,6.39,2.72,Rabi,5.06,Healthy,Medium,Low Productivity
Sandy,454.9,37.1,74.17,218.01,55.23,6.78,3.67,Summer,4.96,Healthy,Medium,Moderate Productivity
Loamy,650.72,20.64,93.59,161.52,46.15,7.06,2.96,Rabi,4.82,Healthy,Medium,Low Productivity
Sandy,1380.49,31.31,89.81,332.57,57.97,4.96,2.66,Kharif,8.0,Healthy,High,High Productivity
Loamy,340.82,32.23,81.42,170.14,43.94,3.06,3.0,Summer,4.46,Healthy,Medium,Low Productivity
Loamy,1226.02,28.99,78.77,197.48,50.24,1.26,4.58,Kharif,6.92,Healthy,High,High Productivity
Sandy,462.8,18.36,87.42,180.26,72.13,10.38,2.78,Rabi,3.76,Healthy,Medium,Low Productivity
Loamy,312.93,34.6,71.18,207.47,52.87,4.85,3.42,Summer,3.82,Healthy,Low,Low Productivity
Sandy,1334.53,30.74,75.45,312.71,49.4,6.25,3.75,Kharif,7.96,Healthy,High,High Productivity
Loamy,785.51,24.87,86.72,150.94,40.27,4.84,4.53,Kharif,5.78,Healthy,Medium,High Productivity
Sandy,1086.74,30.93,73.39,251.73,45.9,7.09,2.85,Kharif,5.85,Healthy,Medium,Moderate Productivity
Sandy,1317.02,27.82,86.57,447.68,37.89,8.0,3.18,Kharif,8.0,Healthy,High,High Productivity
Sandy,1203.38,27.11,74.52,292.17,53.23,6.56,4.11,Kharif,8.0,Healthy,High,High Productivity
Clay,629.49,21.43,80.12,130.12,54.66,6.85,3.2,Rabi,3.77,Healthy,Medium,Low Productivity
Sandy,1336.33,31.57,75.44,185.73,42.84,5.67,3.32,Kharif,6.86,Healthy,Medium,High Productivity
Loamy,615.37,19.26,86.68,190.23,64.64,7.53,3.19,Rabi,4.2,Healthy,Medium,Low Productivity
Loamy,1327.29,27.36,74.88,178.28,59.69,2.56,3.73,Kharif,6.75,Healthy,Medium,High Productivity
Clay,1269.54,26.8,78.66,218.71,47.09,4.46,3.36,Kharif,6.53,Healthy,High,High Productivity
Sandy,1174.44,27.0,77.79,342.15,50.99,7.48,2.86,Kharif,6.83,Healthy,High,High Productivity
Clay,373.1,40.78,65.11,335.64,35.65,3.18,3.27,Summer,5.88,Healthy,Medium,Moderate Productivity
Clay,599.59,17.99,89.32,304.81,46.07,3.46,2.65,Rabi,4.78,Healthy,Medium,Low Productivity
Loamy,843.41,29.74,75.62,199.99,33.91,4.2,4.11,Kharif,5.76,Healthy,Medium,Moderate Productivity
Sandy,350.74,36.18,70.56,287.24,38.39,5.67,2.84,Summer,4.59,Healthy,Medium,Low Productivity
Sandy,255.53,17.28,95.0,204.41,49.46,7.25,2.08,Rabi,4.02,Healthy,Low,Low Productivity
Sandy,1352.54,32.72,82.09,339.25,30.02,9.03,2.93,Kharif,8.0,Healthy,High,High Productivity
Clay,518.35,37.29,69.99,258.01,48.76,3.95,3.11,Summer,4.92,Unhealthy,Medium,Moderate Productivity
Clay,909.12,26.34,83.52,286.52,57.28,4.15,2.96,Kharif,5.93,Healthy,Medium,Moderate Productivity
Loamy,1188.12,24.29,83.93,209.05,47.1,5.83,4.61,Kharif,7.39,Healthy,High,High Productivity
Loamy,816.43,18.78,93.87,174.03,23.19,5.16,3.32,Rabi,5.34,Healthy,Medium,Moderate Productivity
Loamy,1186.95,22.67,88.74,223.51,46.09,7.01,3.03,Kharif,7.45,Healthy,High,High Productivity
Loamy,1504.71,21.93,94.32,86.43,36.36,3.25,4.1,Kharif,6.18,Healthy,Medium,High Productivity
Sandy,604.89,33.2,64.72,234.38,35.32,9.83,3.79,Summer,5.2,Healthy,Medium,Moderate Productivity
Loamy,1361.67,28.56,78.56,176.18,60.09,5.54,4.59,Kharif,7.44,Healthy,High,High Productivity
Loamy,439.16,32.78,76.36,194.51,20.56,6.25,4.02,Summer,4.84,Healthy,Medium,Moderate Productivity
Loamy,248.92,30.45,77.32,273.29,37.03,5.43,3.1,Summer,4.05,Healthy,Medium,Low Productivity
Loamy,373.62,17.35,88.48,136.92,56.84,6.01,3.42,Rabi,2.82,Healthy,Low,Low Productivity
Loamy,394.02,36.06,64.23,213.64,34.25,5.79,3.39,Summer,4.53,Healthy,Medium,Low Productivity
Loamy,493.17,33.51,77.82,239.7,37.56,2.78,3.72,Summer,4.82,Healthy,Medium,Moderate Productivity
Clay,200.0,35.25,67.92,237.79,62.7,4.49,2.93,Summer,4.15,Healthy,Medium,Low Productivity
Loamy,1280.58,23.18,77.41,119.29,49.01,6.98,3.99,Kharif,6.93,Healthy,Medium,High Productivity
Sandy,1229.71,28.97,83.52,338.38,56.4,4.82,2.45,Kharif,6.92,Healthy,High,High Productivity
Sandy,200.0,19.1,93.37,317.38,54.96,9.48,2.49,Rabi,4.62,Healthy,Medium,Low Productivity
Loamy,239.17,17.3,92.66,173.62,51.41,4.5,4.09,Rabi,4.0,Healthy,Low,Low Productivity
Loamy,1099.35,31.65,71.45,184.48,56.07,5.84,3.83,Kharif,6.01,Healthy,Medium,High Productivity
Loamy,503.81,19.47,90.07,180.89,68.07,7.69,2.11,Rabi,3.5,Healthy,Medium,Low Productivity
Clay,1331.65,21.65,94.1,337.45,33.39,5.11,3.74,Kharif,8.0,Healthy,High,High Productivity
Loamy,200.0,30.01,69.91,208.25,42.62,5.54,3.49,Summer,3.55,Healthy,Low,Low Productivity
Loamy,1393.93,27.34,73.37,170.14,43.58,3.6,3.37,Kharif,5.18,Healthy,High,Moderate Productivity
Sandy,1081.41,29.96,74.91,263.06,40.18,6.21,2.55,Kharif,6.48,Healthy,High,Moderate Productivity
Clay,1033.64,30.39,77.39,172.93,55.03,3.4,3.41,Kharif,5.02,Healthy,Medium,Moderate Productivity
Clay,1423.97,34.03,70.68,218.62,45.77,3.8,3.47,Kharif,5.88,Healthy,Medium,Moderate Productivity
Loamy,903.61,26.63,85.26,189.42,66.83,5.95,3.53,Kharif,5.97,Healthy,Medium,Moderate Productivity
Sandy,1360.12,27.71,86.19,228.96,58.86,9.31,2.66,Kharif,7.77,Healthy,High,High Productivity
Loamy,1158.72,29.96,79.44,126.51,59.48,4.75,4.16,Kharif,5.99,Healthy,High,High Productivity
Sandy,1107.1,29.23,81.73,352.33,34.53,6.87,2.33,Kharif,7.49,Healthy,High,High Productivity
Loamy,1383.03,28.99,80.58,233.11,38.11,7.14,4.19,Kharif,8.0,Healthy,High,High Productivity
Sandy,1437.96,26.54,82.2,148.5,39.42,7.43,2.55,Kharif,4.94,Healthy,Medium,Low Productivity
Loamy,1145.12,21.61,81.6,284.66,59.71,5.85,3.48,Kharif,7.69,Healthy,Medium,High Productivity
Clay,1310.9,28.47,74.7,255.72,34.74,3.15,3.15,Kharif,7.79,Healthy,High,High Productivity
Sandy,1146.37,27.54,74.19,185.8,34.88,8.98,3.2,Kharif,7.45,Healthy,High,High Productivity
Loamy,1050.95,34.41,71.97,162.33,32.38,8.06,4.37,Kharif,6.29,Healthy,High,High Productivity
Loamy,1209.54,26.22,83.7,193.38,74.64,4.82,3.75,Kharif,6.05,Healthy,Medium,High Productivity
Loamy,577.67,31.46,69.0,146.5,41.28,5.14,3.86,Summer,5.09,Healthy,Medium,Moderate Productivity
Clay,420.24,36.49,70.57,243.82,48.47,5.55,3.22,Summer,4.91,Healthy,Medium,Moderate Productivity
Sandy,574.46,31.29,72.07,290.08,32.22,9.75,2.75,Summer,6.03,Healthy,Medium,Moderate Productivity
Clay,646.81,16.38,89.0,219.37,58.29,2.87,3.24,Rabi,4.3,Healthy,Medium,Low Productivity
Clay,549.18,22.9,83.4,188.19,29.28,4.2,3.39,Rabi,4.63,Healthy,Medium,Low Productivity
Loamy,1480.48,22.72,81.14,258.42,36.55,4.49,5.11,Kharif,7.94,Healthy,High,High Productivity
Loamy,445.86,39.88,69.18,220.01,35.44,5.56,3.52,Summer,4.6,Unhealthy,Medium,Low Productivity
Loamy,606.93,36.87,68.92,196.22,44.86,3.66,3.83,Summer,4.56,Unhealthy,Medium,Moderate Productivity
Loamy,467.94,34.6,76.55,166.59,37.04,4.75,3.55,Summer,5.29,Healthy,Medium,Moderate Productivity
Loamy,278.01,32.09,73.27,241.54,59.22,3.57,4.1,Summer,5.32,Healthy,Medium,Moderate Productivity
Loamy,957.0,19.02,89.14,141.15,53.77,5.28,2.95,Rabi,3.79,Healthy,Medium,Low Productivity
Clay,321.37,35.57,80.69,194.36,39.31,5.82,2.51,Summer,3.83,Healthy,Low,Low Productivity
Clay,465.54,37.85,60.46,332.42,50.11,4.35,2.51,Summer,5.18,Unhealthy,Medium,Moderate Productivity
Loamy,1350.29,29.8,84.67,256.28,43.47,4.58,4.13,Kharif,7.57,Healthy,High,High Productivity
Loamy,257.01,32.44,83.34,170.86,41.1,5.27,3.66,Summer,3.74,Healthy,Low,Low Productivity
Clay,1130.9,28.81,83.26,172.81,55.94,5.9,3.39,Kharif,6.42,Healthy,Medium,High Productivity
Sandy,200.0,36.45,68.6,127.98,18.05,6.51,2.83,Summer,3.02,Healthy,Low,Low Productivity
Loamy,267.2,36.47,77.37,221.86,52.56,4.55,3.34,Summer,4.7,Healthy,Low,Low Productivity
Clay,1313.62,31.33,74.8,274.29,37.31,4.1,3.37,Kharif,6.98,Healthy,High,High Productivity
Sandy,471.21,18.22,88.6,301.48,41.43,5.83,2.02,Rabi,4.37,Healthy,Medium,Low Productivity
Loamy,1246.06,29.75,76.36,161.66,64.49,3.14,3.74,Kharif,6.73,Healthy,High,High Productivity
Loamy,350.86,41.48,61.37,226.86,35.1,4.41,4.35,Summer,5.29,Unhealthy,Medium,Moderate Productivity
Clay,584.23,33.42,69.16,272.04,52.31,5.93,3.49,Summer,5.45,Healthy,Medium,Moderate Productivity
Loamy,539.05,16.98,95.0,149.29,53.29,5.79,4.17,Rabi,4.41,Healthy,Medium,Moderate Productivity
Sandy,358.92,39.71,62.48,249.02,44.57,5.41,1.99,Summer,3.97,Unhealthy,Medium,Low Productivity
Loamy,1058.4,33.28,73.91,191.69,41.67,3.61,4.85,Kharif,6.34,Healthy,Medium,High Productivity
Clay,1287.28,28.91,72.09,294.46,40.6,3.93,2.99,Kharif,6.69,Healthy,High,High Productivity
Sandy,994.04,14.58,95.0,373.21,65.78,7.35,2.6,Rabi,7.39,Healthy,High,High Productivity
Sandy,1615.5,28.55,73.96,339.65,53.49,5.81,3.37,Kharif,8.0,Healthy,High,High Productivity
Clay,607.8,15.29,89.75,213.46,43.93,5.87,4.18,Rabi,5.61,Healthy,Medium,Moderate Productivity
Loamy,1020.85,27.7,80.21,269.36,35.6,7.56,3.77,Kharif,7.34,Healthy,High,High Productivity
Clay,1647.55,24.3,90.13,222.71,43.19,4.1,3.82,Kharif,6.69,Healthy,High,High Productivity
Clay,744.26,17.18,95.0,196.8,60.31,4.2,3.01,Rabi,5.1,Healthy,Medium,Moderate Productivity
Sandy,340.0,35.17,74.35,201.84,56.09,8.97,2.56,Summer,4.35,Healthy,Medium,Low Productivity
Loamy,843.73,25.47,82.79,150.66,52.39,5.32,4.04,Kharif,5.8,Healthy,Medium,Moderate Productivity
Loamy,694.15,40.8,63.37,238.04,24.84,7.2,3.94,Summer,6.3,Unhealthy,Medium,High Productivity
Loamy,568.11,20.54,93.31,268.84,57.53,3.44,4.03,Rabi,6.28,Healthy,Medium,High Productivity
Clay,1670.85,30.75,74.28,192.62,57.32,3.11,1.93,Kharif,5.1,Healthy,High,Low Productivity
Sandy,659.69,16.49,95.0,294.34,52.24,6.67,2.84,Rabi,4.86,Healthy,Medium,Low Productivity
Clay,686.66,20.54,95.0,194.46,70.3,6.21,2.65,Rabi,4.5,Healthy,Medium,Low Productivity
Sandy,1210.1,28.91,75.1,204.32,31.32,6.02,3.11,Kharif,6.15,Healthy,Medium,Moderate Productivity
Loamy,339.4,18.98,87.75,207.45,55.17,7.37,4.26,Rabi,4.56,Healthy,Medium,Moderate Productivity
Loamy,927.44,34.19,70.25,209.62,32.87,5.35,3.86,Kharif,6.71,Healthy,Medium,High Productivity
Sandy,1575.67,31.75,68.57,220.37,53.16,6.04,3.15,Kharif,6.39,Healthy,Medium,High Productivity
Sandy,366.92,21.69,85.62,245.76,53.81,9.27,2.93,Rabi,4.9,Healthy,Medium,Low Productivity
Loamy,625.35,22.74,93.22,165.7,67.98,5.9,3.02,Rabi,3.4,Healthy,Medium,Low Productivity
Sandy,200.0,38.23,62.9,259.39,45.87,5.99,1.43,Summer,3.79,Healthy,Low,Low Productivity
Clay,1105.66,31.17,83.22,312.98,42.93,3.34,3.37,Kharif,7.81,Healthy,High,High Productivity
Sandy,351.41,34.91,69.94,384.15,38.07,9.28,3.01,Summer,6.93,Healthy,Medium,High Productivity
Clay,341.09,33.56,84.29,200.86,44.79,3.6,2.79,Summer,4.42,Healthy,Medium,Low Productivity
Clay,660.22,37.76,65.28,206.15,36.48,5.55,2.05,Summer,4.06,Unhealthy,Medium,Low Productivity
Clay,432.46,35.57,70.59,141.01,56.65,2.52,4.28,Summer,4.56,Healthy,Medium,Moderate Productivity
Sandy,1481.68,28.76,74.94,225.07,57.24,6.63,3.89,Kharif,7.69,Healthy,High,High Productivity
Loamy,481.1,15.57,91.88,270.92,34.6,5.08,4.12,Rabi,5.28,Healthy,Medium,Moderate Productivity
Sandy,1161.45,22.68,93.48,157.7,50.43,4.54,2.92,Kharif,5.85,Healthy,High,Moderate Productivity
Sandy,389.61,34.74,74.69,94.35,45.03,3.92,2.85,Summer,3.31,Unhealthy,Low,Low Productivity
Loamy,645.89,14.66,95.0,246.54,42.69,6.2,4.45,Rabi,5.27,Healthy,Medium,Moderate Productivity
Loamy,1148.28,29.78,71.69,269.11,47.89,5.8,4.51,Kharif,7.26,Healthy,High,High Productivity
Sandy,527.66,41.4,67.59,165.3,56.89,8.74,2.53,Summer,3.59,Unhealthy,Low,Low Productivity
Clay,1346.81,29.01,74.33,210.66,53.22,5.54,3.58,Kharif,6.46,Healthy,Medium,High Productivity
Loamy,632.29,21.06,82.04,100.16,60.08,5.99,4.34,Rabi,3.76,Healthy,Medium,Low Productivity
Clay,264.43,34.54,73.75,361.23,36.94,4.03,2.63,Summer,5.25,Healthy,Medium,Moderate Productivity
Sandy,1309.38,18.49,92.95,261.38,50.25,6.94,2.81,Kharif,7.65,Healthy,Medium,High Productivity
Loamy,911.62,20.36,89.84,262.6,41.29,5.75,3.29,Rabi,6.76,Healthy,Medium,High Productivity
Sandy,404.67,38.75,71.09,331.54,45.72,7.62,2.44,Summer,5.37,Healthy,Medium,Moderate Productivity
Loamy,1271.14,32.6,79.25,245.48,49.07,5.36,3.58,Kharif,7.36,Healthy,High,High Productivity
Sandy,394.19,13.84,95.0,177.4,60.1,6.31,2.87,Rabi,4.8,Healthy,Medium,Low Productivity
Loamy,1421.32,32.69,68.82,148.54,55.78,5.33,4.67,Kharif,6.73,Unhealthy,Medium,High Productivity
Clay,498.35,17.64,95.0,232.15,57.39,1.24,2.88,Rabi,4.11,Healthy,Medium,Low Productivity
Clay,1097.61,31.06,86.14,184.81,39.24,4.61,3.03,Kharif,5.54,Healthy,Medium,Moderate Productivity
Sandy,460.9,36.79,68.02,347.48,28.88,7.53,2.68,Summer,4.98,Healthy,Medium,Low Productivity
Clay,430.2,33.73,65.18,221.02,46.75,2.65,2.88,Summer,4.66,Unhealthy,Medium,Low Productivity
Loamy,1063.32,23.79,78.54,228.34,60.57,6.96,4.23,Kharif,6.87,Healthy,High,High Productivity
Clay,1521.37,27.93,78.17,309.76,45.2,3.78,4.34,Kharif,8.0,Healthy,High,High Productivity
Sandy,549.15,25.17,93.86,325.53,34.88,8.47,2.03,Rabi,5.28,Healthy,Medium,Low Productivity
Loamy,604.98,32.45,75.15,153.74,65.39,4.1,3.49,Summer,4.74,Healthy,Medium,Moderate Productivity
Loamy,618.22,20.44,86.38,96.91,52.81,7.75,4.11,Rabi,3.84,Healthy,Medium,Low Productivity
Sandy,1617.64,27.69,77.34,205.7,46.91,3.19,3.18,Kharif,7.23,Healthy,High,High Productivity
Sandy,1220.1,21.29,81.83,239.49,34.87,9.09,3.06,Kharif,7.6,Healthy,High,High Productivity
Loamy,353.12,34.03,77.54,255.59,45.42,1.86,2.8,Summer,3.4,Healthy,Medium,Low Productivity
Loamy,244.76,18.66,91.15,160.86,56.21,3.63,3.8,Rabi,3.8,Healthy,Low,Low Productivity
Loamy,392.62,33.34,84.49,222.64,52.38,5.79,3.86,Summer,5.41,Healthy,Medium,Moderate Productivity
Loamy,834.67,16.18,95.0,135.39,43.7,5.79,4.41,Rabi,6.17,Unhealthy,Medium,High Productivity
Loamy,392.03,31.6,80.23,224.01,45.5,4.02,2.54,Summer,4.4,Healthy,Medium,Low Productivity
Clay,1508.99,18.21,90.93,209.3,43.12,3.43,4.1,Kharif,6.96,Healthy,Medium,High Productivity
Sandy,1261.08,27.69,75.32,397.28,61.24,5.77,3.17,Kharif,8.0,Healthy,High,High Productivity
Clay,529.71,35.41,67.14,189.26,51.09,3.37,3.59,Summer,4.54,Healthy,Medium,Low Productivity
Loamy,328.91,25.13,77.0,60.27,39.86,6.72,3.73,Summer,3.25,Healthy,Medium,Low Productivity
Loamy,1311.79,28.53,84.32,164.11,35.61,7.34,2.92,Kharif,6.26,Healthy,Medium,Moderate Productivity
Sandy,1431.59,26.28,80.54,355.04,48.94,5.33,3.43,Kharif,8.0,Healthy,High,High Productivity
